0,0.584,1.993,0.362,222
1,1.149,1.993,0.362,222
2,0.584,1.352,0.362,222
3,0.584,1.993,0.789,222
4,0.584,1.993,0.362,77
5,1.149,1.352,0.789,77
6,1.898,4.331,0.506,111
7,1.837,4.331,0.506,111
8,1.898,3.141,0.506,111
9,1.898,4.331,0.201,111
10,1.898,4.331,0.506,155
11,1.837,3.141,0.201,155
12,1.543,2.398,0.168,156
13,1.526,2.398,0.168,156
14,1.543,4.193,0.168,156
15,1.543,2.398,0.626,156
16,1.543,2.398,0.168,247
17,1.526,4.193,0.626,247
18,0.975,3.810,0.713,71
19,0.720,3.810,0.713,71
20,0.975,2.310,0.713,71
21,0.975,3.810,0.363,71
22,0.975,3.810,0.713,119
23,0.720,2.310,0.363,119
24,1.188,2.792,0.645,98
25,0.675,2.792,0.645,98
26,1.188,1.908,0.645,98
27,1.188,2.792,0.522,98
28,1.188,2.792,0.645,220
29,0.675,1.908,0.522,220
30,1.377,3.376,0.499,185
31,1.387,3.376,0.499,185
32,1.377,3.589,0.499,185
33,1.377,3.376,0.485,185
34,1.377,3.376,0.499,148
35,1.387,3.589,0.485,148
36,1.689,1.318,0.826,133
37,1.792,1.318,0.826,133
38,1.689,4.515,0.826,133
39,1.689,1.318,0.861,133
40,1.689,1.318,0.826,55
41,1.792,4.515,0.861,55
42,0.746,4.984,0.281,244
43,1.009,4.984,0.281,244
44,0.746,2.991,0.281,244
45,0.746,4.984,0.148,244
46,0.746,4.984,0.281,176
47,1.009,2.991,0.148,176
